,platformId,accountId,summonerName,summonerId,currentPlatformId,currentAccountId,matchHistoryUri,profileIcon,participantId,win,item0,item1,item2,item3,item4,item5,item6,kills,deaths,assists,largestKillingSpree,largestMultiKill,killingSprees,longestTimeSpentLiving,doubleKills,tripleKills,quadraKills,pentaKills,unrealKills,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,largestCriticalStrike,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills_participant,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,combatPlayerScore,objectivePlayerScore,totalPlayerScore,totalScoreRank,playerScore0,playerScore1,playerScore2,playerScore3,playerScore4,playerScore5,playerScore6,playerScore7,playerScore8,playerScore9,perk0,perk0Var1,perk0Var2,perk0Var3,perk1,perk1Var1,perk1Var2,perk1Var3,perk2,perk2Var1,perk2Var2,perk2Var3,perk3,perk3Var1,perk3Var2,perk3Var3,perk4,perk4Var1,perk4Var2,perk4Var3,perk5,perk5Var1,perk5Var2,perk5Var3,perkPrimaryStyle,perkSubStyle,statPerk0,statPerk1,statPerk2,role,lane,teamId,championId,spell1Id,spell2Id,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald,towerKills,inhibitorKills,baronKills,dragonKills,vilemawKills,riftHeraldKills,dominionVictoryScore,bans,gameId,gameCreation,gameDuration,queueId,mapId,seasonId,gameVersion,gameMode,gameType
0,EUN1,42HsbZLgKUcnvQYPqEmj7yWfGk6Ccic2PNYvbjrKX3os9w,PoZeRaKoC LoStRe,NyF7brLZQUxCqBte3VQhEWPA0LshKJDZ8tgYkLo_paPO3Cw,EUN1,42HsbZLgKUcnvQYPqEmj7yWfGk6Ccic2PNYvbjrKX3os9w,/v1/stats/player_history/EUW1/21773000,14,1,True,1026,3157,0,3151,3020,3916,3363,6,5,9,4,2,1,363,1,0,0,0,0,122674,106384,15706,583,0,23001,22069,347,583,3455,1,14557,7595,2266,13,14,19408,4076,13891,1441,11888,10125,2,0,182,4,0.0,0.0,171,16,1,0,9.0,2.0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8229,2030,0,0,8275,7,0,0,8210,0,0,0,8237,632,0,0,8126,687,0,0,8135,3321,5,0,8200,8100,5008,5008,5002,DUO,MIDDLE,100,68,12,4,False,False,True,True,True,False,8,1,1,2,0,0,0,"[{'championId': 111, 'pickTurn': 1}, {'championId': 33, 'pickTurn': 3}, {'championId': 235, 'pickTurn': 5}, {'championId': 157, 'pickTurn': 8}, {'championId': 55, 'pickTurn': 10}]",2394893412,1583095458513,1869,700,11,13,10.4.308.9400,CLASSIC,MATCHED_GAME
1,EUN1,wE5tdlHiyVXHDbHR29z_HvGGfhxc_FG-Zn3UBHMaLp5lZw,Pasakku,QjVFxD3pOoW1g8QAmKg18qYGLsIoEvPGQ5fxcfMUadz8MEs,EUN1,wE5tdlHiyVXHDbHR29z_HvGGfhxc_FG-Zn3UBHMaLp5lZw,/v1/stats/player_history/EUN1/30932733,4403,2,True,3198,3089,3020,1026,3157,2003,3340,10,3,7,8,3,2,803,3,1,0,0,0,158214,148507,7835,1870,0,22976,22726,125,125,1128,1,8568,8224,284,18,22,12227,5650,5893,683,13959,12675,0,0,185,20,20.0,0.0,377,16,1,0,11.0,1.0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8229,2101,0,0,8226,250,775,0,8234,8633,0,0,8236,48,0,0,8313,0,0,0,8321,7,0,0,8200,8300,5008,5008,5003,DUO,MIDDLE,100,112,12,4,False,False,True,True,True,False,8,1,1,2,0,0,0,"[{'championId': 111, 'pickTurn': 1}, {'championId': 33, 'pickTurn': 3}, {'championId': 235, 'pickTurn': 5}, {'championId': 157, 'pickTurn': 8}, {'championId': 55, 'pickTurn': 10}]",2394893412,1583095458513,1869,700,11,13,10.4.308.9400,CLASSIC,MATCHED_GAME
2,EUN1,bwAQpwJgky1ij78uRQBS3DZjTtnn8-DXFYKog73n_LXINj4,BackInTheDay1908,FQcDJAtNpWAKwjcJ4R1ekJRH0wno_o-8qfIGrWcnwyF_Igk,EUN1,bwAQpwJgky1ij78uRQBS3DZjTtnn8-DXFYKog73n_LXINj4,/v1/stats/player_history/EUN1/201773825,4050,3,True,3860,3193,3117,3067,1031,0,3364,1,9,6,0,1,0,255,0,0,0,0,0,19962,8729,6141,5090,0,5108,3204,1170,734,245,1,18717,2111,1491,72,22,17422,5611,9195,2614,7166,6300,0,0,28,0,0.0,0.0,40,12,8,0,35.0,6.0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8439,357,0,0,8446,876,0,0,8444,683,0,0,8451,154,0,0,8009,653,500,0,9105,0,0,0,8400,8000,5007,5008,5002,DUO_SUPPORT,BOTTOM,100,89,4,14,False,False,True,True,True,False,8,1,1,2,0,0,0,"[{'championId': 111, 'pickTurn': 1}, {'championId': 33, 'pickTurn': 3}, {'championId': 235, 'pickTurn': 5}, {'championId': 157, 'pickTurn': 8}, {'championId': 55, 'pickTurn': 10}]",2394893412,1583095458513,1869,700,11,13,10.4.308.9400,CLASSIC,MATCHED_GAME
3,EUN1,W61dP_N_zrpZrKhf8q9FnzQy7y0tJBvKl6DI1MPUhMYdzec,Schr0dingerPar0t,m8is-RxOV_VNGQbqfaIRYBL-GhsjayWH1rhTtk4avDuqXA8,EUN1,W61dP_N_zrpZrKhf8q9FnzQy7y0tJBvKl6DI1MPUhMYdzec,/v1/stats/player_history/EUN1/203614200,4491,4,True,3006,3031,3087,3094,2055,1055,3340,6,4,7,4,3,1,612,1,1,0,0,0,137376,26847,109971,558,661,15420,2330,12898,192,918,1,5428,11655,7261,20,4,11874,3714,7787,372,12304,10550,5,1,178,12,0.0,8.0,23,15,2,0,11.0,3.0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8005,824,546,278,9111,570,260,0,9104,17,40,0,8014,396,0,0,8275,8,0,0,8236,28,0,0,8000,8200,5005,5008,5002,DUO_CARRY,BOTTOM,100,18,4,1,False,False,True,True,True,False,8,1,1,2,0,0,0,"[{'championId': 111, 'pickTurn': 1}, {'championId': 33, 'pickTurn': 3}, {'championId': 235, 'pickTurn': 5}, {'championId': 157, 'pickTurn': 8}, {'championId': 55, 'pickTurn': 10}]",2394893412,1583095458513,1869,700,11,13,10.4.308.9400,CLASSIC,MATCHED_GAME
4,EUN1,RlpNdx_39EBQcKNQeXhOwbsGU47eVVbGVHizIfyLjr10sdc,THÊ KÎNG,j0uCGUH-M2wBB1sCCraegrg3x38dd2bRY4fGqN9N1XwwHYc,EUN1,RlpNdx_39EBQcKNQeXhOwbsGU47eVVbGVHizIfyLjr10sdc,/v1/stats/player_history/EUN1/214054733,550,5,True,2031,3748,3111,1401,3742,0,3364,4,2,11,3,1,1,1448,0,0,0,0,0,161547,36873,108703,15970,0,14522,1053,8906,4563,11041,1,33982,19798,1847,17,16,33507,7043,23257,3206,11349,10225,1,0,29,136,104.0,8.0,217,15,1,0,3.0,4.0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,299,0,0,9111,2177,300,0,9104,17,40,0,8014,250,0,0,8429,67,18,13,8451,186,0,0,8000,8400,5005,5008,5002,NONE,JUNGLE,100,875,11,4,False,False,True,True,True,False,8,1,1,2,0,0,0,"[{'championId': 111, 'pickTurn': 1}, {'championId': 33, 'pickTurn': 3}, {'championId': 235, 'pickTurn': 5}, {'championId': 157, 'pickTurn': 8}, {'championId': 55, 'pickTurn': 10}]",2394893412,1583095458513,1869,700,11,13,10.4.308.9400,CLASSIC,MATCHED_GAME
5,EUN1,Is-7n6LTRiJWVokhmZE7WX10hhAuAt4HRJH2u2TWCz-BUEQ,TheVxsm,VJZ7BjPfpcZ9-zwMm_m799ncTjqn1K4bNtfBOQ5koz0T3ik,EUN1,Is-7n6LTRiJWVokhmZE7WX10hhAuAt4HRJH2u2TWCz-BUEQ,/v1/stats/player_history/EUN1/207827974,4022,6,False,3071,3077,3211,1055,3111,3155,3340,3,4,4,2,1,1,572,0,0,0,0,0,141364,4689,131032,5642,0,8943,966,7252,724,8092,1,20556,8151,4092,24,16,26331,14479,10775,1075,10192,8725,1,0,160,20,1.0,8.0,24,16,2,0,11.0,3.0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8005,1230,659,570,9111,322,140,0,9105,19,40,0,8299,104,0,0,8139,612,0,0,8135,1479,3,0,8000,8100,5005,5008,5002,SOLO,TOP,200,58,4,14,True,True,False,False,False,True,4,0,0,2,0,2,0,"[{'championId': 145, 'pickTurn': 2}, {'championId': 6, 'pickTurn': 4}, {'championId': 245, 'pickTurn': 6}, {'championId': 51, 'pickTurn': 7}, {'championId': 21, 'pickTurn': 9}]",2394893412,1583095458513,1869,700,11,13,10.4.308.9400,CLASSIC,MATCHED_GAME
6,EUN1,KmkMwbNmZvUYCMKC9Ud9yCNXSHkCBnscWMjbZrpuXwmr7Q,Erustdiel,jupV-YXtDbQX3ecFHsc2rbdGg9On8L7P8uaT-_x73dd4v4A,EUN1,KmkMwbNmZvUYCMKC9Ud9yCNXSHkCBnscWMjbZrpuXwmr7Q,/v1/stats/player_history/EUN1/40292643,4471,7,False,1056,3030,3905,3020,3089,0,3340,5,5,5,2,1,1,1069,0,0,0,0,0,115228,99824,13152,2252,0,18190,16682,823,685,2540,1,8451,6046,2337,20,61,16921,10392,4926,1601,11436,10175,0,0,176,4,0.0,0.0,428,14,1,0,12.0,2.0,False,False,False,True,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8351,18,0,0,8304,12,0,0,8345,3,0,0,8347,0,0,0,8126,717,0,0,8134,40,5,0,8300,8100,5007,5008,5003,SOLO,MIDDLE,200,518,4,21,True,True,False,False,False,True,4,0,0,2,0,2,0,"[{'championId': 145, 'pickTurn': 2}, {'championId': 6, 'pickTurn': 4}, {'championId': 245, 'pickTurn': 6}, {'championId': 51, 'pickTurn': 7}, {'championId': 21, 'pickTurn': 9}]",2394893412,1583095458513,1869,700,11,13,10.4.308.9400,CLASSIC,MATCHED_GAME
7,EUN1,K_HmBsZc2IlvyZebwzlFuXbb66J_Slags4DkdMqNpTBwFPA,Hwanin,RJ8XvSaMaxf-RddLLjLQMqz7LDOxufQQw2dAuUHG0nClVoY,EUN1,K_HmBsZc2IlvyZebwzlFuXbb66J_Slags4DkdMqNpTBwFPA,/v1/stats/player_history/EUN1/200224468,4025,8,False,3072,1042,3095,3031,3111,0,3340,9,7,6,5,2,3,755,3,0,0,0,0,105854,4972,97006,3875,980,17101,697,16404,0,2429,2,9114,7608,3811,18,8,18120,6369,10475,1275,12238,12000,1,0,170,0,0.0,0.0,74,12,0,0,8.0,3.0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8005,710,528,181,9111,535,300,0,9105,12,30,0,8017,805,0,0,8275,10,0,0,8234,7922,0,0,8000,8200,5005,5008,5002,DUO_CARRY,BOTTOM,200,119,4,7,True,True,False,False,False,True,4,0,0,2,0,2,0,"[{'championId': 145, 'pickTurn': 2}, {'championId': 6, 'pickTurn': 4}, {'championId': 245, 'pickTurn': 6}, {'championId': 51, 'pickTurn': 7}, {'championId': 21, 'pickTurn': 9}]",2394893412,1583095458513,1869,700,11,13,10.4.308.9400,CLASSIC,MATCHED_GAME
8,EUN1,U_7aNsxNrVS-vp4zKVORpDrBnZNTuS3Cu25JuNsr9dbjoBo,Råmmus,LPXg_gwSm0ziWLbgcfSn2e6LAvMLr-bckiK-Ksf9OoaORVk,EUN1,U_7aNsxNrVS-vp4zKVORpDrBnZNTuS3Cu25JuNsr9dbjoBo,/v1/stats/player_history/EUN1/205763290,4491,9,False,1412,3026,3111,3071,3211,1028,3364,6,5,5,2,1,2,778,0,0,0,0,0,178394,7113,140619,30661,0,13284,0,8253,5030,12844,1,21757,31485,0,39,8,28971,10961,16192,1817,11453,11425,2,0,22,155,109.0,1.0,459,14,6,0,7.0,7.0,True,False,True,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,597,0,0,9111,507,220,0,9104,14,50,0,8299,365,0,0,8304,11,1,5,8410,68,0,0,8000,8300,5008,5008,5002,NONE,JUNGLE,200,2,11,4,True,True,False,False,False,True,4,0,0,2,0,2,0,"[{'championId': 145, 'pickTurn': 2}, {'championId': 6, 'pickTurn': 4}, {'championId': 245, 'pickTurn': 6}, {'championId': 51, 'pickTurn': 7}, {'championId': 21, 'pickTurn': 9}]",2394893412,1583095458513,1869,700,11,13,10.4.308.9400,CLASSIC,MATCHED_GAME
9,EUN1,1i4x6G0UOvLy_no9EUNjFIbXPOG9ExcQtwxN-QUJvuuSK14,HeºStoleºMyºBike,uE-nIyMVUW9BkzEny7fFUF1MHgLVObqOoYpbsbeWNbSRv0M,EUN1,1i4x6G0UOvLy_no9EUNjFIbXPOG9ExcQtwxN-QUJvuuSK14,/v1/stats/player_history/EUN1/219171274,2073,10,False,3860,3024,3107,3111,3067,3105,3364,0,6,15,0,0,0,747,0,0,0,0,0,23686,10656,5348,7681,0,8387,5541,968,1877,2496,5,18504,786,314,65,31,19625,11990,7207,427,7423,6875,0,0,38,0,0.0,0.0,86,12,1,0,24.0,11.0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8439,491,0,0,8463,727,0,0,8473,727,0,0,8242,10,0,0,8306,0,0,0,8347,0,0,0,8400,8300,5007,5003,5002,DUO_SUPPORT,BOTTOM,200,412,4,14,True,True,False,False,False,True,4,0,0,2,0,2,0,"[{'championId': 145, 'pickTurn': 2}, {'championId': 6, 'pickTurn': 4}, {'championId': 245, 'pickTurn': 6}, {'championId': 51, 'pickTurn': 7}, {'championId': 21, 'pickTurn': 9}]",2394893412,1583095458513,1869,700,11,13,10.4.308.9400,CLASSIC,MATCHED_GAME
