,index,platformId,gameId,champion,queue,season,timestamp,role,lane,accountId
0,0,EUN1,2394936195,105,420,13,1583100333332,DUO,MID,sP1WpJtn8ddDSp6eDbVcYQXOVuqSKGt1bOf0aRGZJHU
1,1,EUN1,2394931561,1,700,13,1583098541514,SOLO,MID,sP1WpJtn8ddDSp6eDbVcYQXOVuqSKGt1bOf0aRGZJHU
2,2,EUN1,2394894769,101,700,13,1583096058349,SOLO,MID,sP1WpJtn8ddDSp6eDbVcYQXOVuqSKGt1bOf0aRGZJHU
3,3,EUN1,2394882761,1,700,13,1583092551254,SOLO,MID,sP1WpJtn8ddDSp6eDbVcYQXOVuqSKGt1bOf0aRGZJHU
4,4,EUN1,2394776541,69,420,13,1583087862983,SOLO,MID,sP1WpJtn8ddDSp6eDbVcYQXOVuqSKGt1bOf0aRGZJHU
5,5,EUN1,2394768576,161,420,13,1583085652919,DUO_SUPPORT,BOTTOM,sP1WpJtn8ddDSp6eDbVcYQXOVuqSKGt1bOf0aRGZJHU
6,6,EUN1,2394742078,23,420,13,1583083560348,DUO,MID,sP1WpJtn8ddDSp6eDbVcYQXOVuqSKGt1bOf0aRGZJHU
7,7,EUN1,2370298471,38,420,13,1580498040831,SOLO,MID,sP1WpJtn8ddDSp6eDbVcYQXOVuqSKGt1bOf0aRGZJHU
8,8,EUN1,2370200627,105,420,13,1580492919873,SOLO,MID,sP1WpJtn8ddDSp6eDbVcYQXOVuqSKGt1bOf0aRGZJHU
9,9,EUN1,2370154683,38,420,13,1580491115749,SOLO,MID,sP1WpJtn8ddDSp6eDbVcYQXOVuqSKGt1bOf0aRGZJHU
10,10,EUN1,2366672456,45,420,13,1580074567596,SOLO,MID,sP1WpJtn8ddDSp6eDbVcYQXOVuqSKGt1bOf0aRGZJHU
11,11,EUN1,2366615147,141,420,13,1580072874289,DUO_SUPPORT,NONE,sP1WpJtn8ddDSp6eDbVcYQXOVuqSKGt1bOf0aRGZJHU
12,12,EUN1,2366589748,105,420,13,1580071090194,DUO_SUPPORT,NONE,sP1WpJtn8ddDSp6eDbVcYQXOVuqSKGt1bOf0aRGZJHU
13,13,EUN1,2366436537,105,420,13,1580065850901,SOLO,MID,sP1WpJtn8ddDSp6eDbVcYQXOVuqSKGt1bOf0aRGZJHU
14,14,EUN1,2366374466,105,420,13,1580062670473,SOLO,MID,sP1WpJtn8ddDSp6eDbVcYQXOVuqSKGt1bOf0aRGZJHU
15,15,EUN1,2366358809,105,420,13,1580061213594,DUO,NONE,sP1WpJtn8ddDSp6eDbVcYQXOVuqSKGt1bOf0aRGZJHU
16,16,EUN1,2366177411,38,420,13,1580047574659,SOLO,MID,sP1WpJtn8ddDSp6eDbVcYQXOVuqSKGt1bOf0aRGZJHU
17,17,EUN1,2366141077,105,420,13,1580045824626,SOLO,MID,sP1WpJtn8ddDSp6eDbVcYQXOVuqSKGt1bOf0aRGZJHU
18,18,EUN1,2365850952,105,420,13,1579995771611,SOLO,MID,sP1WpJtn8ddDSp6eDbVcYQXOVuqSKGt1bOf0aRGZJHU
19,19,EUN1,2365832503,105,420,13,1579993173666,SOLO,MID,sP1WpJtn8ddDSp6eDbVcYQXOVuqSKGt1bOf0aRGZJHU
20,20,EUN1,2365775300,39,420,13,1579990587278,SOLO,MID,sP1WpJtn8ddDSp6eDbVcYQXOVuqSKGt1bOf0aRGZJHU
21,21,EUN1,2365736137,105,420,13,1579988037670,SOLO,MID,sP1WpJtn8ddDSp6eDbVcYQXOVuqSKGt1bOf0aRGZJHU
22,22,EUN1,2363988298,105,420,13,1579816715331,SOLO,MID,sP1WpJtn8ddDSp6eDbVcYQXOVuqSKGt1bOf0aRGZJHU
23,23,EUN1,2363952464,105,420,13,1579814912404,DUO_SUPPORT,NONE,sP1WpJtn8ddDSp6eDbVcYQXOVuqSKGt1bOf0aRGZJHU
24,24,EUN1,2363916051,84,900,13,1579813114684,DUO,NONE,sP1WpJtn8ddDSp6eDbVcYQXOVuqSKGt1bOf0aRGZJHU
25,25,EUN1,2363922601,20,900,13,1579812248964,DUO,NONE,sP1WpJtn8ddDSp6eDbVcYQXOVuqSKGt1bOf0aRGZJHU
26,26,EUN1,2363927593,64,900,13,1579811056785,DUO_SUPPORT,NONE,sP1WpJtn8ddDSp6eDbVcYQXOVuqSKGt1bOf0aRGZJHU
27,27,EUN1,2363882580,78,900,13,1579809847511,DUO_SUPPORT,NONE,sP1WpJtn8ddDSp6eDbVcYQXOVuqSKGt1bOf0aRGZJHU
